trial,best_iter,mae,r2,learning_rate,num_leaves,max_depth,min_child_samples,colsample_bytree,subsample,reg_alpha,reg_lambda,path_smooth,min_split_gain
19,20000,8.4981,0.5798,0.006720772396701113,31,10,15,0.7910623695972563,0.7188748221447706,0.012658339145067091,0.08690617709680871,1.5222150966113084,0.29829598860328266
40,19999,8.4997,0.5834,0.010968992271185155,54,10,35,0.7199180324962877,0.6789020691944538,0.024681649667291906,0.6399619335557133,0.5718147045556644,0.10378526205793447
18,20000,8.5006,0.5805,0.006567492688730182,31,10,28,0.7861983638172064,0.7211422591005,0.010474199309389512,0.11278710507575737,0.8026522315293707,0.3092674104362614
6,20000,8.5015,0.5821,0.005607832349462856,57,9,38,0.6404672548436904,0.8170784332632994,0.02647114182821816,2.5502980701628926,0.14910128735954165,0.49344346830025865
33,19999,8.5039,0.5824,0.010498106467845941,46,9,33,0.6976095378393855,0.667340225128567,0.02244162071159794,0.054368884207860686,0.5577245200711258,0.2507548466683144
12,20000,8.5095,0.5805,0.005379306266431292,64,8,38,0.5079360291138241,0.8384514112945034,0.35563462924451217,3.175447269290314,0.4321817621750216,0.4960063678223891
21,20000,8.5096,0.5788,0.0064374775103368575,35,10,29,0.789038060613797,0.7488679248596787,0.011467275109981604,0.07271312289020014,1.4941751988218333,0.294991929621092
25,20000,8.5105,0.5827,0.009754442489284186,52,9,23,0.8417340034725125,0.601281307245121,0.14126931950172966,0.010022754678750226,0.9721269461980204,0.19163705835170053
26,20000,8.5114,0.5825,0.011467758388832096,42,9,23,0.9410305320583507,0.6378703808932071,0.05767982055878051,0.03408334553356802,0.9597167638002448,0.1359754306781105
16,20000,8.5119,0.5798,0.009588253119070307,58,8,29,0.5014498258578803,0.9727267280588002,0.7318192443921249,0.9139142994901399,0.27459366060860346,0.4428802048216555
20,20000,8.5123,0.5797,0.006740742307625094,41,10,15,0.9253085663206508,0.6811566860900125,0.04025532037241835,0.08133839010368846,1.7249617983611407,0.2828984940205117
10,20000,8.5126,0.58,0.005560315049642546,66,8,37,0.5110654375949044,0.8015551380710474,7.573772188483914,8.296361460947614,0.420495847155946,0.49618133273016835
8,20000,8.5134,0.5822,0.012033851836208809,91,6,19,0.6554911608578311,0.7300733288106989,1.5446089075047076,0.817847657433954,1.774425485152653,0.23610746258097465
48,20000,8.5183,0.5786,0.005969895046879871,34,9,40,0.737661849532536,0.739313938016986,0.014894593030425044,0.28757464287937723,0.298326277809452,0.2347954474256188
37,20000,8.5185,0.5796,0.012576335916534375,48,9,18,0.7573185175952525,0.6996334227716308,0.029623112488303675,0.12694037996527596,0.564394470963098,0.33634277974894095
46,20000,8.5185,0.5802,0.008613419260454235,49,8,18,0.865892884070014,0.713207732447435,0.027587287207226883,0.1340137630272024,1.3207454169226855,0.2102455646043009
0,20000,8.5246,0.5805,0.005481678532819869,123,9,54,0.5780093202212182,0.662397808134481,0.014936568554617643,3.9676050770529883,1.2022300234864176,0.35403628889802274
34,20000,8.5251,0.5795,0.007651652000744334,46,10,42,0.751836572462271,0.694207172385267,0.06189102767465861,0.18283582508097002,0.8213140288127488,0.1411832091429095
13,20000,8.5256,0.5768,0.004718820426899342,32,7,22,0.700477984841022,0.8435573762529524,0.3579160506157714,1.9234357845908685,0.43921678477038345,0.3911490584112442
27,20000,8.5284,0.5802,0.008259827187932509,75,8,34,0.8384209088446761,0.6419558622034369,0.02216635399167484,0.04033049822291499,1.248330164488485,0.19786961109484016
14,20000,8.5294,0.58,0.007321104910840367,64,10,60,0.5638797058769446,0.7539796407337818,0.8970158335891127,1.7112721976405467,0.25564864856528013,0.39051932206847995
